Entry_ID,Category,Label,Variations,Exclude,Note
topics_bariatric_surgery_024,topics,bariatric_surgery,"bariatric surgery|weight loss surgery|WLS|metabolic surgery|bariatric operation|weight-loss surgery|gastric bypass|roux-en-y|RNY|Rny|rny|RYGB|roux en y|Roux-en-Y Gastric Bypass|bypass surgery|sleeve|gastrectomy|gastricsleeve|VSG|vertical sleeve|vertical sleeve gastrectomy|mini gastric bypass|one-anastomosis gastric bypass|OAGB|lap band|lapband|gastric band|adjustable gastric band|duodenal switch|DS|biliopancreatic diversion|BPD/DS|SADI|SIPS|single anastomosis duodenal switch",,General bucket for all bariatric surgery mentions; use this rollup for relevance (bariatric_context) and theme mapping
,topics,dietary_modification,"low carb|cut carbs|slow carb|no simple sugars|LC|low glycemic|low sugar|
small meals|frequent meals|grazing|6 small meals|
meal timing|eating schedule|diet changes|diet modification|dietary changes|
protein first|protein before carbs|protein anchor|start with protein|protein at every meal|
fat before carbs|fat first|butter before carbs|peanut butter first|
cornstarch|superstarch|uncooked cornstarch|UCAN|slow starch|extended-release starch",,"general dietary signals are a topic but can be rolled up to ""treatments"" with cross reference to ""treatment_anchors""; future state!"
,topics,diagnostics_monitoring,"CGM|continuous glucose monitor|continuous glucose monitoring|glucose sensor|Dexcom|Libre|Freestyle Libre|Libre2|Libre3|Guardian|Guardian Connect|
oral glucose tolerance test|OGTT|glucose tolerance test|tolerance test|2 hour glucose test|mixed meal tolerance test|MMTT|meal test|mixed meal test|fingerstick|finger stick|finger prick|glucose meter|glucometer|finger poke|meal challenge|provocation test|glucose challenge",,
,topics,patient_support,support group|patient group|community|forum|Facebook group|online suport group,customer support|tech support,Social connection
,topics,doctor_visit,saw doctor|appointment|clinic visit|endocrinologist|physician|check-up|doctor's office,doctor show,Healthcare interaction
,topics,medication_side_effects,side effects|adverse effects|drug reaction|reaction to treatment,side effects (movie),Treatment issues
,topics,surgery_complications,complications|surgical complications|post-op issues|after surgery problems,,Surgery-related issues
,topics,meal_tolerance,meal intolerance|food intolerance|can't eat|trouble eating|eating makes me feel sick,lactose intolerance,Eating difficulties
,topics,weight_regain,weight regain|gaining weight back|weight gain after surgery|put weight back on,weight gain (general),Post-surgery concern
,topics,financial_burden,expensive|can't afford|cost|price|copay|out of pocket|financial stress,,Economic impact
,topics,clinical_trial,clinical trial|study|research|phase 2|phase 3|enrolling|trial participant,,Pipeline tracking
,topics,dose_adjustment,dose change|titration|increasing dose|decreasing dose|adjusting|dose reduction,,Treatment optimization
,topics,treatment_failure,not working|failed|doesn't help|no improvement|stopped working|ineffective treatment,work failure|job failure,Drug ineffectiveness
,topics,hcp_referral,referred to|seeing specialist|endocrinologist referral|bariatric surgeon|doctor referral,referee|referral bonus,Healthcare navigation
,topics,quality_of_life,quality of life|life impact|daily activities|normal life|can't live normally|can't work|missed work|work accomodations|driving risk|car accident|unsafe driving|don't feel like myself|depressed|anxious|mental burden|mental health,quality control,Outcome measure
,topics,medication_adherence,compliance|taking medication|skipping doses|forgot to take|noncompliance|missed dose,,Treatment behavior
,topics,access_coverage,access|coverage|insurance denial|denied by insurance|coverage denied|insurance refusal|denial letter|coverage determination denial|benefit exclusion|not covered|prior auth|PA|pre-auth|authorization required|preauthorization|prec ertification|copay|co-pay|out of pocket|OOP|coinsurance|deductible|step therapy|fail first|step edit|fail-first requirement|appeal|appealed|letter of medical necessity|LMN|insurance appeal|external review,,Rolled up into one topic for MVP
,topics,care_settings,endocrinology clinic|endo clinic|endocrinology office|diabetes and endocrine clinic|bariatric clinic|WLS center|bariatric program|metabolic and bariatric surgery center|MBSAQIP-accredited center|primary care clinic|PCP office|family practice|general practitioner office|emergency room|ER|ED|urgent care|nutritionist office|dietitian office|RD clinic|CDE office,doc|nutrition (general sense),"Broad roll-up of settings where PBH is managed for MVP; if we get this right, we can test separating settings"
,treatments,avexitide,avexitide|exendin(9-39)|exendin 9-39|exendin-9-39,,Launch drug - PRIMARY
,treatments,acarbose,acarbose|precose|glucobay|acarbase,,First-line competitor
,treatments,diazoxide,diazoxide|proglycem,,Second-line option
,treatments,octreotide,octreotide|sandostatin|sandostatin LAR|sandostatin injection|sandostatin long-acting,,Third-line option
,treatments,semaglutide,semaglutide|ozempic|wegovy|wegoivy|ozmpic,,GLP-1 competitor
,treatments,tirzepatide,tirzepatide|mounjaro|zepbound|mounjaro injection|tirzep,,Major GLP-1 competitor
,treatments,dulaglutide,dulaglutide|trulicity,,GLP-1 competitor
,treatments,liraglutide,liraglutide|victoza|saxenda,,GLP-1 competitor
,treatments,exenatide,exenatide|byetta|bydureon,,
,treatments,sglt2_inhibitors,sodium-glucose contransporter-2|sglt2|inhibitors|empagliflozin|jardiance|dapagliflozin|farxiga|canagliflozin|invokana,,
