Entry_ID,Category,Label,Variations,Exclude,Note
036,topics,diagnostics_monitoring,"CGM | continuous glucose monitor | continuous glucose monitoring | glucose sensor | Dexcom | Libre | Freestyle Libre | Libre2 | Libre3 | Guardian | Guardian Connect | oral glucose tolerance test | OGTT | glucose tolerance test | tolerance test | 2 hour glucose test | mixed meal tolerance test | MMTT | meal test | mixed meal test | fingerstick | finger stick | finger prick | glucose meter | glucometer | finger poke | meal challenge | provocation test | glucose challenge",,
037,topics,patient_support,support group | patient group | community | forum | Facebook group | online suport group,customer support | tech support,Social connection
038,topics,doctor_visit,saw doctor | appointment | clinic visit | endocrinologist | physician | check-up | doctor's office,doctor show,Healthcare interaction
039,topics,medication_side_effects,side effects | adverse effects | drug reaction | reaction to treatment,side effects (movie),Treatment issues
040,topics,surgery_complications,complications | surgical complications | post-op issues | after surgery problems,,Surgery-related issues
041,topics,meal_tolerance,meal intolerance | food intolerance | can't eat | trouble eating | eating makes me feel sick,lactose intolerance,Eating difficulties
042,topics,weight_regain,weight regain | gaining weight back | weight gain after surgery | put weight back on,weight gain (general),Post-surgery concern
043,topics,financial_burden,expensive | can't afford | cost | price | copay | out of pocket | financial stress,,Economic impact
044,topics,clinical_trial,clinical trial | study | research | phase 2 | phase 3 | enrolling | trial participant,,Pipeline tracking
045,topics,dose_adjustment,dose change | titration | increasing dose | decreasing dose | adjusting | dose reduction,,Treatment optimization
046,topics,treatment_failure,not working | failed | doesn't help | no improvement | stopped working | ineffective treatment,work failure | job failure,Drug ineffectiveness
047,topics,hcp_referral,referred to | seeing specialist | endocrinologist referral | bariatric surgeon | doctor referral,referee | referral bonus,Healthcare navigation
048,topics,quality_of_life,"quality of life | life impact | daily activities | normal life | can't live normally | can't work | missed work | work accomodations | driving risk | car accident | unsafe driving | don't feel like myself | depressed | anxious | mental burden | mental health",quality control,Outcome measure
049,topics,medication_adherence,compliance | taking medication | skipping doses | forgot to take | noncompliance | missed dose,,Treatment behavior
050,topics,access_coverage,"access | coverage | insurance denial | denied by insurance | coverage denied | insurance refusal | denial letter | coverage determination denial | benefit exclusion | not covered | prior auth | PA | pre-auth | authorization required | preauthorization | prec ertification | copay | co-pay | out of pocket | OOP | coinsurance | deductible | step therapy | fail first | step edit | fail-first requirement | appeal | appealed | letter of medical necessity | LMN | insurance appeal | external review",,Rolled up into one topic for MVP
051,topics,care_settings,"endocrinology clinic | endo clinic | endocrinology office | diabetes and endocrine clinic | bariatric clinic | WLS center | bariatric program | metabolic and bariatric surgery center | MBSAQIP-accredited center | primary care clinic | PCP office | family practice | general practitioner office | emergency room | ER | ED | urgent care | nutritionist office | dietitian office | RD clinic | CDE office",doc | nutrition (general sense),Broad roll-up of settings where PBH is managed for MVP; if we get this right we can test separating settings
